0,1,2
1.0,0.0,0.0
0.939693,0.0,0.34202
0.7071069999999999,0.0,0.7071069999999999
0.0,0.0,1.0
0.939693,0.0,-0.34202
0.819152,0.0,-0.573576
0.98106,0.085832,0.173648
0.98106,0.085832,-0.173648
0.984808,0.173648,0.0
0.925417,0.163176,-0.34202
0.907673,0.24320999999999998,0.34202
0.925417,0.33682399999999996,0.173648
0.925417,0.33682399999999996,-0.173648
0.719846,0.26200300000000004,-0.642788
0.906308,0.42261800000000005,0.0
0.7912399999999999,0.554032,0.258819
0.6275069999999999,0.439385,0.642788
0.34618899999999997,0.242404,0.906308
0.7697510000000001,0.538986,-0.34202
0.642788,0.766044,0.0
0.492404,0.586824,-0.642788
0.469846,0.8137979999999999,0.34202
0.469846,0.8137979999999999,-0.34202
0.34202,0.939693,0.0
0.24184499999999998,0.664463,0.7071069999999999
0.28016599999999997,0.7697510000000001,-0.573576
0.0819,0.936117,0.34202
0.0819,0.936117,-0.34202
-0.087156,0.996195,0.0
-0.330366,0.907673,0.258819
-0.26200300000000004,0.719846,0.642788
-0.144544,0.397131,0.906308
-0.321394,0.883022,-0.34202
-0.5,0.866025,0.0
-0.604023,0.719846,0.34202
0.98106,-0.085832,0.173648
0.98106,-0.085832,-0.173648
0.984808,-0.173648,0.0
0.925417,-0.163176,-0.34202
0.907673,-0.24320999999999998,0.34202
0.925417,-0.33682399999999996,0.173648
0.925417,-0.33682399999999996,-0.173648
0.719846,-0.26200300000000004,-0.642788
0.906308,-0.42261800000000005,0.0
0.7912399999999999,-0.554032,0.258819
0.6275069999999999,-0.439385,0.642788
0.34618899999999997,-0.242404,0.906308
0.7697510000000001,-0.538986,-0.34202
0.642788,-0.766044,0.0
0.492404,-0.586824,-0.642788
0.469846,-0.8137979999999999,0.34202
0.469846,-0.8137979999999999,-0.34202
0.34202,-0.939693,0.0
0.24184499999999998,-0.664463,0.7071069999999999
0.28016599999999997,-0.7697510000000001,-0.573576
0.0819,-0.936117,0.34202
0.0819,-0.936117,-0.34202
-0.087156,-0.996195,0.0
-0.330366,-0.907673,0.258819
-0.26200300000000004,-0.719846,0.642788
-0.144544,-0.397131,0.906308
-0.321394,-0.883022,-0.34202
-0.5,-0.866025,0.0
-0.604023,-0.719846,0.34202
